epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.836321,1.34278,4.49646,1.37685,0.00167,0.5,0.00168,0.00054,1.22812,3.87375,1.03775,4e-05,4e-05,4e-05
2,1.19228,1.29634,3.77528,1.38559,0.00167,0.5,0.00138,0.00076,0.91017,3.76768,0.95371,9.901e-05,9.901e-05,9.901e-05
3,1.59447,1.0736,3.8317,1.21755,0.00083,0.25,0.00061,0.00012,0.77913,3.61731,0.88159,0.000156832,0.000156832,0.000156832
4,1.97766,0.56813,7.71717,0.67591,0.00167,0.5,0.00791,0.00138,0.93573,3.55204,0.8829,0.000213466,0.000213466,0.000213466
5,2.37973,0.55393,2.94461,0.89074,0.00333,1,0.01349,0.01008,0.63239,3.53151,0.85074,0.000268912,0.000268912,0.000268912
6,2.76361,0.59705,2.16602,0.91235,0.00333,1,0.01555,0.01205,0.75985,3.46095,0.83976,0.00032317,0.00032317,0.00032317
7,3.15068,0.64328,1.66642,0.84475,0.00333,1,0.01592,0.01251,0.72044,3.43269,0.83254,0.00037624,0.00037624,0.00037624
8,3.52447,0.58539,1.34679,0.85608,0.00333,1,0.01508,0.01248,0.79738,3.39331,0.83685,0.000428122,0.000428122,0.000428122
9,3.90409,0.59733,1.5178,0.85596,0.00333,1,0.01463,0.00976,0.84631,3.5347,0.87629,0.000478816,0.000478816,0.000478816
10,4.26829,0.54214,1.84534,0.86592,0.00333,1,0.01624,0.01177,0.83314,3.46355,0.85597,0.000528322,0.000528322,0.000528322
11,4.64896,0.58124,1.64111,0.90143,0.00333,1,0.01769,0.01315,0.8317,3.48965,0.88759,0.00057664,0.00057664,0.00057664
12,5.02066,0.59097,1.257,0.87481,0.00333,1,0.01843,0.01447,0.83955,3.47169,0.88684,0.00062377,0.00062377,0.00062377
13,5.42175,0.54745,1.35709,0.87869,0.00333,1,0.01592,0.01317,0.81062,3.5726,0.888,0.000669712,0.000669712,0.000669712
14,5.78866,0.62787,1.29828,0.88503,0.00333,1,0.01363,0.01141,0.74317,3.64136,0.88429,0.000714466,0.000714466,0.000714466
