epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.8853,2.75469,9.0838,4.089,2.9767,0.00333,1,0.02182,0.0044,0.00333,1,0.01749,0.00387,1.63908,1.72781,3.50916,2.3103,0.00026,0.00026,0.00026
2,3.12415,1.52644,2.38524,3.19486,1.60751,0.00333,1,0.20203,0.05454,0.00333,1,0.25255,0.0635,1.71051,1.71845,3.08239,1.7235,0.000534654,0.000534654,0.000534654
3,4.32279,0.88249,1.62614,2.14152,1.02968,0.00333,1,0.95878,0.81387,0.00333,1,0.95878,0.75585,0.47368,2.60213,2.53907,0.86786,0.000803764,0.000803764,0.000803764
4,5.51878,0.83836,1.60592,1.55324,1.05059,1,0.62274,0.99333,0.85304,1,0.62274,0.99333,0.81337,0.57618,1.37933,2.16399,0.9266,0.00106733,0.00106733,0.00106733
5,6.68967,0.75311,1.46078,1.40986,0.98881,0.5662,1,0.98441,0.853,0.32003,0.56522,0.44568,0.17363,0.61777,10.6374,2.35264,0.94189,0.00132535,0.00132535,0.00132535
6,7.87225,0.73577,1.19087,1.21714,0.95339,0.95815,0.99554,0.99167,0.81259,0.95815,0.99554,0.99167,0.81205,0.6717,1.61117,1.25052,1.00035,0.00157783,0.00157783,0.00157783
7,9.02584,0.84624,1.0921,1.28487,0.97299,0.9582,0.99668,0.99333,0.80054,0.9582,0.99668,0.99333,0.84334,0.86012,1.54646,1.45256,1.25304,0.00182476,0.00182476,0.00182476
8,10.1964,0.7652,1.15024,1.23824,0.97067,0.9971,1,0.995,0.84105,0.9971,1,0.995,0.69605,0.62842,2.11399,1.32772,0.95912,0.0018614,0.0018614,0.0018614
9,11.3778,0.81914,1.05593,1.20399,1.00568,0.99591,1,0.995,0.79459,0.99591,1,0.995,0.79899,0.83794,1.76745,1.23402,1.19245,0.0018416,0.0018416,0.0018416
10,12.5449,0.75732,1.23546,1.19589,0.96927,0.89767,1,0.995,0.73522,0.89767,1,0.995,0.88538,0.93695,0.8633,1.97758,1.35418,0.0018218,0.0018218,0.0018218
