epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.983757,2.18489,8.01304,3.79355,2.4509,0.00333,1,0.03288,0.01124,0.00333,1,0.02419,0.00745,2.22006,4.62971,3.19931,2.50545,6e-05,6e-05,6e-05
2,1.41634,2.14822,7.5946,3.71162,2.45335,0.00333,1,0.06173,0.02319,0.00333,1,0.04565,0.00613,2.02344,4.76165,3.17688,2.40363,0.000138614,0.000138614,0.000138614
3,1.85426,2.29026,7.9248,3.57904,2.48856,0.00333,1,0.12042,0.0317,0.00333,1,0.12971,0.03199,2.01881,3.01354,2.92711,1.89174,0.000215644,0.000215644,0.000215644
4,2.32957,1.61522,2.94177,3.17776,1.74232,0.00333,1,0.29509,0.09956,0.00222,0.66667,0.10493,0.04162,1.47219,4.60095,2.94452,1.69127,0.00029109,0.00029109,0.00029109
5,2.80087,1.23799,2.15893,2.80722,1.24194,0.00333,1,0.8931,0.65915,0.00333,1,0.8931,0.59509,0.93972,2.48166,2.67323,0.98784,0.000364952,0.000364952,0.000364952
6,3.25854,0.82966,1.68402,2.43003,1.05614,0.00333,1,0.955,0.68744,0.00333,1,0.955,0.6685,0.92764,2.76085,2.64669,1.0067,0.00043723,0.00043723,0.00043723
7,3.72527,0.85566,1.70543,2.22999,1.06357,0.00333,1,0.75611,0.57702,0.00333,1,0.51623,0.18276,0.62767,6.86854,2.61094,0.84166,0.000507924,0.000507924,0.000507924
8,4.17856,0.83055,1.63798,2.03918,1.03488,0.00333,1,0.76643,0.69625,0.00333,1,0.64506,0.18427,0.51408,6.42661,2.5475,0.71024,0.000577034,0.000577034,0.000577034
9,4.63792,0.78275,1.80021,1.7954,1.00802,0.00333,1,0.8125,0.74777,0.00333,1,0.69508,0.19456,0.43565,7.97372,2.53539,0.68666,0.00064456,0.00064456,0.00064456
10,5.11097,0.76659,1.37297,1.7363,0.98505,0.00333,1,0.995,0.93864,0.00222,0.66667,0.17378,0.05314,0.41111,11.5212,2.48369,0.70502,0.000710502,0.000710502,0.000710502
11,5.56683,0.66831,1.25852,1.51852,0.95147,0.00333,1,0.995,0.91884,0.00278,0.83333,0.41497,0.07221,0.39619,11.3005,2.28062,0.70771,0.00077486,0.00077486,0.00077486
12,6.03339,0.76421,1.47913,1.52114,1.04004,0.92668,1,0.995,0.94537,0.61779,0.66667,0.67635,0.27485,0.31111,8.7823,2.05145,0.63908,0.000837634,0.000837634,0.000837634
13,6.4866,0.71375,1.17143,1.40513,0.99928,0.98532,1,0.995,0.91202,0.98532,1,0.995,0.58624,0.49097,5.83388,1.97116,0.7987,0.000898824,0.000898824,0.000898824
14,6.9504,0.85023,1.03661,1.43099,1.00138,0.92611,1,0.995,0.90945,0.92611,1,0.995,0.7244,0.45523,3.41239,2.11443,0.71203,0.00095843,0.00095843,0.00095843
15,7.42124,0.66258,1.02961,1.30187,0.98367,0.93835,1,0.995,0.90377,0.93835,1,0.995,0.81252,0.43758,2.24882,2.08169,0.67972,0.00101645,0.00101645,0.00101645
16,7.88425,0.6672,1.07192,1.16135,0.92245,0.93835,1,0.995,0.90377,0.93835,1,0.995,0.81252,0.43758,2.24882,2.08169,0.67972,0.00107289,0.00107289,0.00107289
17,8.34642,0.6755,1.1459,1.2199,0.98923,0.96076,1,0.995,0.8955,0.96076,1,0.995,0.796,0.53952,2.74143,1.91933,0.72982,0.00112774,0.00112774,0.00112774
18,8.81475,0.61199,0.89497,1.08124,0.95034,0.9715,1,0.995,0.87386,0.9715,1,0.995,0.85594,0.6603,1.9077,1.83037,0.89416,0.00118101,0.00118101,0.00118101
19,9.25982,0.71699,1.25533,1.19788,0.985,0.9715,1,0.995,0.87386,0.9715,1,0.995,0.85594,0.6603,1.9077,1.83037,0.89416,0.0012327,0.0012327,0.0012327
20,9.71158,0.67164,1.06314,1.11865,0.98114,0.96906,1,0.995,0.85687,0.96906,1,0.995,0.91202,0.63962,1.51415,1.71567,0.84009,0.0012828,0.0012828,0.0012828
21,10.1662,0.68338,0.94825,1.12148,0.94408,0.96929,1,0.995,0.796,0.96929,1,0.995,0.83234,0.82049,2.21855,1.68193,1.05769,0.00133132,0.00133132,0.00133132
22,10.6163,0.68911,1.01349,1.01085,0.93741,0.96929,1,0.995,0.796,0.96929,1,0.995,0.83234,0.82049,2.21855,1.68193,1.05769,0.00137825,0.00137825,0.00137825
23,11.068,0.72658,1.05549,1.06923,0.95847,0.99037,1,0.995,0.90945,0.99037,1,0.995,0.8955,0.3786,1.74594,1.0519,0.70216,0.0014236,0.0014236,0.0014236
24,11.5218,0.63945,0.94845,0.99761,0.90785,0.99037,1,0.995,0.90945,0.99037,1,0.995,0.8955,0.3786,1.74594,1.0519,0.70216,0.00146737,0.00146737,0.00146737
25,11.9794,0.63125,0.8456,0.9866,0.90554,0.99022,1,0.995,0.8955,0.99022,1,0.995,0.8955,0.48764,1.12297,1.08833,0.73213,0.00150955,0.00150955,0.00150955
26,12.4212,0.78314,0.89795,1.05745,0.95283,0.99022,1,0.995,0.8955,0.99022,1,0.995,0.8955,0.48764,1.12297,1.08833,0.73213,0.001505,0.001505,0.001505
27,12.871,0.70314,0.89662,1.00176,0.93541,0.98726,1,0.995,0.92029,0.98726,1,0.995,0.78271,0.3889,2.15037,1.14572,0.63986,0.0014852,0.0014852,0.0014852
28,13.3129,0.74151,0.87484,1.07675,0.9993,0.98726,1,0.995,0.92029,0.98726,1,0.995,0.78271,0.3889,2.15037,1.14572,0.63986,0.0014654,0.0014654,0.0014654
29,13.7615,0.72039,1.11866,1.06819,0.96953,0.99084,1,0.995,0.88496,0.99084,1,0.995,0.61402,0.58344,3.06918,1.14085,0.76335,0.0014456,0.0014456,0.0014456
30,14.1992,0.76125,1.09161,1.02041,0.94833,0.99084,1,0.995,0.88496,0.99084,1,0.995,0.61402,0.58344,3.06918,1.14085,0.76335,0.0014258,0.0014258,0.0014258
31,14.6495,0.66897,0.93161,0.96711,0.93013,0.99197,1,0.995,0.85687,0.99197,1,0.995,0.73004,0.61714,2.71403,1.07035,0.76301,0.001406,0.001406,0.001406
32,15.0946,0.67094,0.77325,1.05708,0.97844,0.99197,1,0.995,0.85687,0.99197,1,0.995,0.73004,0.61714,2.71403,1.07035,0.76301,0.0013862,0.0013862,0.0013862
33,15.5418,0.62465,0.80773,0.9247,0.92607,0.98898,1,0.995,0.92029,0.98898,1,0.995,0.92029,0.36923,0.76642,1.38364,0.65382,0.0013664,0.0013664,0.0013664
34,15.9933,0.61671,0.97679,0.94656,0.90114,0.98898,1,0.995,0.92029,0.98898,1,0.995,0.92029,0.36923,0.76642,1.38364,0.65382,0.0013466,0.0013466,0.0013466
35,16.4635,0.69876,0.82736,0.94832,0.9504,0.99165,1,0.995,0.84037,0.99165,1,0.995,0.92029,0.65871,0.77643,0.90972,0.91115,0.0013268,0.0013268,0.0013268
36,16.9032,0.67671,0.85943,0.93298,0.93854,0.99165,1,0.995,0.84037,0.99165,1,0.995,0.92029,0.65871,0.77643,0.90972,0.91115,0.001307,0.001307,0.001307
37,17.3521,0.72037,0.94072,1.0242,0.96263,0.99207,1,0.995,0.9067,0.99207,1,0.995,0.94537,0.48811,0.68044,0.88418,0.77869,0.0012872,0.0012872,0.0012872
38,17.8003,0.65677,0.86055,0.9648,0.95471,0.99207,1,0.995,0.9067,0.99207,1,0.995,0.94537,0.48811,0.68044,0.88418,0.77869,0.0012674,0.0012674,0.0012674
39,18.2613,0.68519,0.75974,0.94327,0.94539,0.99147,1,0.995,0.92054,0.99147,1,0.995,0.8955,0.44064,1.00639,0.85785,0.66103,0.0012476,0.0012476,0.0012476
40,18.7024,0.66579,0.77858,0.90493,0.91845,0.99147,1,0.995,0.92054,0.99147,1,0.995,0.8955,0.44064,1.00639,0.85785,0.66103,0.0012278,0.0012278,0.0012278
41,19.1624,0.6325,0.72639,0.90574,0.89739,0.99127,1,0.995,0.91202,0.99127,1,0.995,0.8955,0.37924,0.83362,0.84794,0.63784,0.001208,0.001208,0.001208
42,19.6079,0.58567,0.71592,0.87689,0.92949,0.99127,1,0.995,0.91202,0.99127,1,0.995,0.8955,0.37924,0.83362,0.84794,0.63784,0.0011882,0.0011882,0.0011882
43,20.0667,0.6556,0.7209,0.91889,0.91178,0.99201,1,0.995,0.90102,0.99201,1,0.995,0.64137,0.44029,3.6467,0.86913,0.70829,0.0011684,0.0011684,0.0011684
44,20.51,0.6647,0.82113,0.86407,0.90584,0.99201,1,0.995,0.90102,0.99201,1,0.995,0.64137,0.44029,3.6467,0.86913,0.70829,0.0011486,0.0011486,0.0011486
45,20.957,0.6315,0.93421,0.88566,0.9224,0.99206,1,0.995,0.87952,0.99206,1,0.995,0.57269,0.52706,5.33491,0.98636,0.77617,0.0011288,0.0011288,0.0011288
46,21.3946,0.67014,0.78755,0.96802,0.98516,0.99206,1,0.995,0.87952,0.99206,1,0.995,0.57269,0.52706,5.33491,0.98636,0.77617,0.001109,0.001109,0.001109
47,21.8443,0.71172,0.84123,0.89805,0.93945,0.99216,1,0.995,0.92054,0.99216,1,0.995,0.90102,0.43132,0.79719,1.15217,0.73318,0.0010892,0.0010892,0.0010892
48,22.2824,0.60355,0.85584,0.95966,0.92598,0.99216,1,0.995,0.92054,0.99216,1,0.995,0.90102,0.43132,0.79719,1.15217,0.73318,0.0010694,0.0010694,0.0010694
49,22.7465,0.60413,0.78096,0.84368,0.88991,0.99239,1,0.995,0.92054,0.99239,1,0.995,0.94812,0.4536,0.66812,0.75275,0.75567,0.0010496,0.0010496,0.0010496
50,23.1975,0.61153,0.79094,0.91511,0.95054,0.99239,1,0.995,0.92054,0.99239,1,0.995,0.94812,0.4536,0.66812,0.75275,0.75567,0.0010298,0.0010298,0.0010298
51,23.66,0.59498,0.81877,0.8595,0.89271,0.99209,1,0.995,0.90102,0.99209,1,0.995,0.90102,0.45822,0.86269,0.70464,0.69372,0.00101,0.00101,0.00101
52,24.1288,0.51097,0.63426,0.83244,0.8947,0.99209,1,0.995,0.90102,0.99209,1,0.995,0.90102,0.45822,0.86269,0.70464,0.69372,0.0009902,0.0009902,0.0009902
53,24.5852,0.55695,0.65536,0.76896,0.90295,0.99222,1,0.995,0.92904,0.99222,1,0.995,0.94537,0.52376,0.70467,0.68042,0.69701,0.0009704,0.0009704,0.0009704
